TweetID,Timestamp,Emotions
1.21995E+18,2020-1,"['fear', 'sadness']"
1.22063E+18,2020-1,"['sadness', 'anticipation', 'surprise']"
1.22129E+18,2020-1,"['anticipation', 'joy', 'surprise']"
1.22173E+18,2020-1,"['fear', 'anticipation']"
1.2223E+18,2020-1,"['fear', 'sadness']"
1.22295E+18,2020-1,"['sadness', 'surprise']"
1.2239E+18,2020-2,"['anticipation', 'surprise']"
1.22642E+18,2020-2,['fear']
1.2265E+18,2020-2,"['anticipation', 'surprise']"
1.22658E+18,2020-2,"['anger', 'disgust']"
1.22701E+18,2020-2,['anticipation']
1.23129E+18,2020-2,"['anticipation', 'joy']"
1.23202E+18,2020-2,"['fear', 'sadness', 'anticipation']"
1.23323E+18,2020-2,['anticipation']
1.23348E+18,2020-2,"['fear', 'surprise']"
1.234E+18,2020-3,"['fear', 'sadness', 'anticipation']"
1.23509E+18,2020-3,['anticipation']
1.23604E+18,2020-3,['anger']
1.23672E+18,2020-3,"['sadness', 'anticipation']"
1.23678E+18,2020-3,"['fear', 'sadness', 'anticipation']"
1.23692E+18,2020-3,"['anger', 'sadness', 'anticipation']"
1.23752E+18,2020-3,"['anticipation', 'surprise']"
1.23753E+18,2020-3,['anticipation']
1.23767E+18,2020-3,"['sadness', 'anticipation']"
1.2385E+18,2020-3,"['fear', 'anticipation', 'joy']"
1.23945E+18,2020-3,"['fear', 'anticipation', 'surprise']"
1.24257E+18,2020-3,"['disgust', 'anticipation', 'surprise']"
1.24365E+18,2020-3,"['sadness', 'surprise']"
1.2475E+18,2020-4,"['anticipation', 'sadness', 'anger']"
1.24777E+18,2020-4,"['anticipation', 'fear', 'anger']"
1.24801E+18,2020-4,"['fear', 'sadness']"
1.24834E+18,2020-4,"['anticipation', 'sadness', 'anger']"
1.24862E+18,2020-4,['anticipation']
1.24872E+18,2020-4,"['fear', 'anticipation']"
1.2497E+18,2020-4,"['anticipation', 'anger', 'surprise']"
1.24985E+18,2020-4,"['anticipation', 'trust']"
1.24994E+18,2020-4,['sadness']
1.25039E+18,2020-4,"['sadness', 'anger', 'disgust']"
1.25063E+18,2020-4,['anticipation']
1.25067E+18,2020-4,"['anger', 'surprise']"
1.25117E+18,2020-4,"['fear', 'sadness', 'anticipation', 'surprise']"
1.25135E+18,2020-4,['sadness']
1.25203E+18,2020-4,"['joy', 'trust']"
1.2522E+18,2020-4,['anticipation']
1.2532E+18,2020-4,"['fear', 'anticipation']"
1.25347E+18,2020-4,['sadness']
1.25522E+18,2020-4,['trust']
1.25534E+18,2020-4,['anticipation']
1.25595E+18,2020-4,"['sadness', 'anger', 'joy']"
1.25662E+18,2020-5,"['anticipation', 'anger']"
1.25741E+18,2020-5,"['joy', 'trust']"
1.25796E+18,2020-5,['anger']
1.25861E+18,2020-5,['anger']
1.26106E+18,2020-5,"['fear', 'sadness', 'anticipation']"
1.26243E+18,2020-5,"['fear', 'anticipation']"
1.26265E+18,2020-5,['anticipation']
1.26294E+18,2020-5,"['fear', 'sadness', 'anticipation', 'surprise']"
1.26445E+18,2020-5,['sadness']
1.26541E+18,2020-5,"['fear', 'anticipation']"
1.26636E+18,2020-5,"['joy', 'trust']"
1.26734E+18,2020-6,"['anticipation', 'joy', 'trust']"
1.26768E+18,2020-6,['surprise']
1.26959E+18,2020-6,"['anticipation', 'anger']"
1.27053E+18,2020-6,['anger']
1.27069E+18,2020-6,"['joy', 'surprise']"
1.27121E+18,2020-6,"['anticipation', 'anger']"
1.2714E+18,2020-6,"['anticipation', 'trust']"
1.27175E+18,2020-6,['anger']
1.27187E+18,2020-6,['anticipation']
1.27214E+18,2020-6,"['sadness', 'disgust']"
1.27365E+18,2020-6,"['sadness', 'anger', 'disgust']"
1.27476E+18,2020-6,"['anger', 'disgust']"
1.27481E+18,2020-6,['anger']
1.2756E+18,2020-6,"['anticipation', 'trust']"
1.27587E+18,2020-6,"['fear', 'sadness']"
1.27615E+18,2020-6,"['anger', 'disgust']"
1.2764E+18,2020-6,"['sadness', 'anger', 'disgust']"
1.27646E+18,2020-6,"['anticipation', 'trust']"
1.27696E+18,2020-6,"['sadness', 'anticipation']"
1.27719E+18,2020-6,"['anticipation', 'surprise']"
1.27747E+18,2020-6,"['fear', 'anticipation']"
1.27763E+18,2020-6,"['sadness', 'surprise']"
1.27772E+18,2020-6,"['anticipation', 'trust']"
1.27937E+18,2020-7,"['joy', 'surprise']"
1.27945E+18,2020-7,['fear']
1.2795E+18,2020-7,['surprise']
1.28244E+18,2020-7,['surprise']
1.28277E+18,2020-7,['anticipation']
1.28282E+18,2020-7,['anticipation']
1.28302E+18,2020-7,"['anger', 'anticipation', 'surprise']"
1.28336E+18,2020-7,['anticipation']
1.28341E+18,2020-7,"['anticipation', 'anger', 'disgust']"
1.28387E+18,2020-7,['anger']
1.28438E+18,2020-7,['trust']
1.28446E+18,2020-7,"['anticipation', 'surprise']"
1.28536E+18,2020-7,"['fear', 'sadness']"
1.28629E+18,2020-7,['anger']
1.28638E+18,2020-7,['anger']
1.28644E+18,2020-7,"['anger', 'fear', 'anticipation']"
1.28673E+18,2020-7,['fear']
1.28727E+18,2020-7,"['fear', 'sadness', 'anticipation']"
1.28813E+18,2020-7,"['joy', 'surprise']"
1.28878E+18,2020-7,"['anger', 'disgust']"
1.28896E+18,2020-7,"['anticipation', 'anger']"
1.28997E+18,2020-8,"['anticipation', 'disgust']"
1.29014E+18,2020-8,"['trust', 'anticipation', 'surprise']"
1.29108E+18,2020-8,"['anticipation', 'anger']"
1.29262E+18,2020-8,['anger']
1.29362E+18,2020-8,['anticipation']
1.29422E+18,2020-8,"['anticipation', 'joy']"
1.29467E+18,2020-8,"['anticipation', 'anger', 'disgust']"
1.29494E+18,2020-8,"['anger', 'fear', 'anticipation']"
1.29537E+18,2020-8,['anticipation']
1.29541E+18,2020-8,['anticipation']
1.29607E+18,2020-8,['disgust']
1.29667E+18,2020-8,"['anger', 'disgust']"
1.29723E+18,2020-8,"['fear', 'sadness', 'anger']"
1.29966E+18,2020-8,['surprise']
1.29993E+18,2020-8,"['anger', 'sadness', 'anticipation', 'disgust']"
1.29998E+18,2020-8,"['disgust', 'anger', 'surprise']"
1.30108E+18,2020-9,['anticipation']
1.3012E+18,2020-9,['sadness']
1.30132E+18,2020-9,"['sadness', 'disgust']"
1.30168E+18,2020-9,"['anticipation', 'fear', 'anger']"
1.30204E+18,2020-9,['anticipation']
1.30348E+18,2020-9,"['anticipation', 'joy']"
1.30407E+18,2020-9,"['anticipation', 'surprise']"
1.30432E+18,2020-9,['anticipation']
1.30475E+18,2020-9,['fear']
1.30554E+18,2020-9,['anticipation']
1.30564E+18,2020-9,['anger']
1.3061E+18,2020-9,"['anticipation', 'surprise']"
1.30619E+18,2020-9,['anger']
1.3063E+18,2020-9,"['sadness', 'anger']"
1.30634E+18,2020-9,"['sadness', 'anticipation', 'surprise']"
